table;dur;birth;death;chngs;s@s;s@e;sAvg
authors;12;0;-;0;9;9;9.0
frbcat;4;1;4;0;0;0;0.0
frbs;12;0;-;0;5;5;5.0
frbs_have_publications;12;0;-;0;2;2;2.0
frbs_notes;12;0;-;0;5;5;5.0
observations;12;0;-;1;8;9;8.833333
observations_have_publications;12;0;-;0;2;2;2.0
observations_notes;12;0;-;0;5;5;5.0
publications;12;0;-;0;5;5;5.0
radio_images;12;0;-;0;4;4;4.0
radio_images_have_radio_measured_params;12;0;-;0;2;2;2.0
radio_measured_params;12;0;-;23;33;38;35.583332
radio_measured_params_have_publications;12;0;-;0;2;2;2.0
radio_measured_params_notes;12;0;-;0;5;5;5.0
radio_observations_params;12;0;-;12;21;24;23.666666
radio_observations_params_have_publications;12;0;-;0;2;2;2.0
radio_observations_params_notes;12;0;-;0;5;5;5.0
